Security,Type,InputType,Input,Source
AUD,FORWARD,10YYields,GTAUD10YR Corp,BBG
AUD,FORWARD,2YYields,GTAUD2YR Corp,BBG
AUD,FORWARD,3MYields,AUTE3MAY Index,BBG
AUD,FORWARD,Balance of Payments,G10:N193BBPG,HAVER
AUD,FORWARD,Carry,AUDI3M Curncy,BBG
AUD,FORWARD,Carry 12M,AUDI12M Curncy,BBG
AUD,FORWARD,Carry2,US0003M Index,BBG
AUD,FORWARD,Carry2 12M,US0012M Curncy,BBG
AUD,FORWARD,ClearMacro,Australia,CLEARMACRO
AUD,FORWARD,ClearMacro V3,AUS,CLEARMACRO
AUD,FORWARD,CPI,AUCCPI..E,DATASTREAM
AUD,FORWARD,CPI_YOY,AUCPIYOY Index,BBG
AUD,FORWARD,Current Account,EHCAAU INDEX,BBG
AUD,FORWARD,Economic Surprises,CESIAUD Index,BBG
AUD,FORWARD,Equity Performance,AS51 Index,BBG
AUD,FORWARD,Inflation Surprises,CSIIAUD Index,BBG
AUD,FORWARD,Long term rate,AUGBOND.,DATASTREAM
AUD,FORWARD,OECD CLI,OEAUKLAC Index,BBG
AUD,FORWARD,PPP,PPP AS Index,BBG
AUD,FORWARD,Return Period,66,BBG
AUD,FORWARD,RISK_TICKER,USDAUD CURNCY,BBG
AUD,FORWARD,RISK_TICKER2,AUDUSD CURNCY,BBG
AUD,FORWARD,Short term rate,AUMSHORT,DATASTREAM
AUD,FORWARD,Spot,USDAUD Curncy,BBG
AUD,FORWARD,Terms of Trade,AUTOTPRCF,DATASTREAM
AUD,FORWARD,Unemployment Rate,AULFUNEM Index,BBG
AUD,FUTURE,ACTIVE_TICKER,ADA CURNCY,BBG
AUD,FUTURE,Carry,AUDUSD CURNCY,BBG
AUD,FUTURE,Carry2,AUD1M CURNCY,BBG
AUD,FUTURE,ClearMacro,Australia,CLEARMACRO
AUD,FUTURE,ClearMacro V3,AUS,CLEARMACRO
AUD,FUTURE,CPI,AUCCPI..E,DATASTREAM
AUD,FUTURE,CPI_YOY,AUCPIYOY Index,BBG
AUD,FUTURE,Current Account,EHCAAU INDEX,BBG
AUD,FUTURE,Equity Performance,AS51 Index,BBG
AUD,FUTURE,FX XXXGBP,USDGBP CURNCY,BBG
AUD,FUTURE,GENERIC_TICKER,AD1_CURNCY,BBG
AUD,FUTURE,NO_ADJ,AD1 A:00_0_N? CURNCY,BBG
AUD,FUTURE,Return Period,66,BBG
AUD,FUTURE,RISK_TICKER,AD1 A:00_0_R? CURNCY,BBG
AUD,FUTURE,RISK_TICKER2,AD1 A:00_0_R? CURNCY,BBG
AUD,FUTURE,Short term rate,AUMSHORT,DATASTREAM
AUD,FUTURE,Spot,AD1 A:00_0_R? CURNCY,BBG
AUD,FUTURE,Terms of Trade,AUTOTPRCF,DATASTREAM
AUD,FUTURE,TREND_PRICE,AD1 A:00_0_D? CURNCY,BBG
AUD,FUTURE,Unemployment Rate,AULFUNEM Index,BBG
AUS 10YR,FUTURE,10YYields,I00110Y INDEX,BBG
AUS 10YR,FUTURE,2YYields,I00102Y INDEX,BBG
AUS 10YR,FUTURE,ACTIVE_TICKER,XMA COMDTY,BBG
AUS 10YR,FUTURE,Carry,I00103M INDEX,BBG
AUS 10YR,FUTURE,Carry2,I00109Y INDEX,BBG
AUS 10YR,FUTURE,Carry3,I00110Y INDEX,BBG
AUS 10YR,FUTURE,ClearMacro,Australia,CLEARMACRO
AUS 10YR,FUTURE,CPI,AUCCPI..E,DATASTREAM
AUS 10YR,FUTURE,Equity Performance,AS51 Index,BBG
AUS 10YR,FUTURE,GENERIC_TICKER,XM1_COMDTY,BBG
AUS 10YR,FUTURE,NO_ADJ,XM1 A:00_0_N? COMDTY,BBG
AUS 10YR,FUTURE,Return Period,252,BBG
AUS 10YR,FUTURE,RISK_TICKER,XM1 A:00_0_R? COMDTY,BBG
AUS 10YR,FUTURE,RISK_TICKER2,XM1 A:00_0_R? COMDTY,BBG
AUS 10YR,FUTURE,Short term rate,AUMSHORT,DATASTREAM
AUS 10YR,FUTURE,Spot,XM1 A:00_0_R? COMDTY,BBG
AUS 10YR,FUTURE,Terms of Trade,AUTOTPRCF,DATASTREAM
AUS 10YR,FUTURE,TREND_PRICE,XM1 A:00_0_D? COMDTY,BBG
AUSTRALIA,FUTURE,ACTIVE_TICKER,XPA INDEX,BBG
AUSTRALIA,FUTURE,ASR ERP,AUASERP,DATASTREAM
AUSTRALIA,FUTURE,Carry,XP1 A:00_0_N? INDEX,BBG
AUSTRALIA,FUTURE,Carry2,XP2 A:00_0_N? INDEX,BBG
AUSTRALIA,FUTURE,ClearMacro,Australia,CLEARMACRO
AUSTRALIA,FUTURE,CPI,AUCCPI..E,DATASTREAM
AUSTRALIA,FUTURE,FX XXXGBP,AUDGBP CURNCY,BBG
AUSTRALIA,FUTURE,FX XXXUSD,AUDUSD CURNCY,BBG
AUSTRALIA,FUTURE,GENERIC_TICKER,XP1_INDEX,BBG
AUSTRALIA,FUTURE,MSCI Index,MXAU INDEX,BBG
AUSTRALIA,FUTURE,NO_ADJ,XP1 A:00_0_N? INDEX,BBG
AUSTRALIA,FUTURE,Return Period,252,BBG
AUSTRALIA,FUTURE,RISK_TICKER,XP1 A:00_0_R? INDEX,BBG
AUSTRALIA,FUTURE,RISK_TICKER2,XP1 A:00_0_R? INDEX,BBG
AUSTRALIA,FUTURE,Short term rate,AUMSHORT,DATASTREAM
AUSTRALIA,FUTURE,Spot,XP1 A:00_0_R? INDEX,BBG
AUSTRALIA,FUTURE,Terms of Trade,AUTOTPRCF,DATASTREAM
AUSTRALIA,FUTURE,TREND_PRICE,XP1 A:00_0_D? INDEX,BBG
BOBL,FUTURE,ACTIVE_TICKER,OEA COMDTY,BBG
BOBL,FUTURE,Carry,I01603M INDEX,BBG
BOBL,FUTURE,Carry2,I01609Y INDEX,BBG
BOBL,FUTURE,Carry3,I01610Y INDEX,BBG
BOBL,FUTURE,ClearMacro,Germany,CLEARMACRO
BOBL,FUTURE,Equity Performance,DAX Index,BBG
BOBL,FUTURE,GENERIC_TICKER,OE1_COMDTY,BBG
BOBL,FUTURE,NO_ADJ,OE1 A:00_0_N? COMDTY,BBG
BOBL,FUTURE,Return Period,252,BBG
BOBL,FUTURE,RISK_TICKER,OE1 A:00_0_R? COMDTY,BBG
BOBL,FUTURE,RISK_TICKER2,OE1 A:00_0_R? COMDTY,BBG
BOBL,FUTURE,Spot,OE1 A:00_0_R? COMDTY,BBG
BOBL,FUTURE,TREND_PRICE,OE1 A:00_0_D? COMDTY,BBG
BRAZIL,FUTURE,ACTIVE_TICKER,BZA INDEX,BBG
BRAZIL,FUTURE,Carry,BZ1 A:00_0_N? INDEX,BBG
BRAZIL,FUTURE,Carry2,BZ2 A:00_0_N? INDEX,BBG
BRAZIL,FUTURE,ClearMacro,Brazil,CLEARMACRO
BRAZIL,FUTURE,GENERIC_TICKER,BZ1_INDEX,BBG
BRAZIL,FUTURE,NO_ADJ,BZ1 A:00_0_N? INDEX,BBG
